date,messages,text_messages,photo_messages,photo_links,file_messages,file_links
2026-05-16,11,7,4,4,0,0
2026-05-17,26,12,14,14,0,0
2026-05-18,27,16,13,13,0,0
2026-05-19,45,19,28,28,0,0
2026-05-20,51,22,29,29,0,0
2026-05-21,83,39,46,46,1,1
2026-05-22,94,47,51,51,0,0
2026-05-23,78,36,41,41,1,1
2026-05-24,12,5,7,7,0,0
2026-05-25,6,4,2,2,0,0
2026-05-26,35,17,19,19,0,0
2026-05-27,83,42,44,44,0,0
2026-05-28,88,42,47,47,0,0
2026-05-29,83,42,43,43,0,0
2026-05-30,92,46,47,47,1,1
2026-05-31,28,15,14,14,0,0
2026-06-01,54,27,28,28,0,0
2026-06-02,67,37,33,33,0,0
2026-06-03,37,18,19,19,0,0
