date,messages,text_messages,photo_messages,photo_links,file_messages,file_links
2026-04-01,98,56,44,44,0,0
2026-04-02,104,53,54,54,0,0
2026-04-03,64,33,31,31,0,0
2026-04-04,41,23,19,19,0,0
2026-04-05,21,12,9,9,0,0
2026-04-06,43,25,18,18,0,0
2026-04-07,50,27,23,23,0,0
2026-04-08,85,43,46,46,0,0
2026-04-09,66,34,36,36,0,0
2026-04-10,80,44,37,37,0,0
2026-04-11,52,26,26,26,0,0
2026-04-12,34,15,20,20,0,0
2026-04-13,47,27,21,21,0,0
2026-04-14,79,40,40,40,0,0
2026-04-15,82,40,42,42,0,0
2026-04-16,80,37,47,47,0,0
2026-04-17,91,44,48,48,0,0
2026-04-18,66,33,34,34,0,0
2026-04-19,29,15,14,14,0,0
2026-04-20,27,14,13,13,0,0
2026-04-21,63,27,36,36,0,0
2026-04-22,53,22,33,33,0,0
2026-04-23,85,37,49,49,0,0
2026-04-24,59,28,31,31,0,0
2026-04-25,54,31,23,23,0,0
2026-04-26,21,7,14,14,0,0
2026-04-27,20,9,11,11,0,0
2026-04-28,40,18,22,22,0,0
2026-04-29,61,27,35,35,0,0
2026-04-30,83,43,41,41,0,0
2026-05-01,86,47,44,44,0,0
2026-05-02,78,43,36,36,0,0
2026-05-03,23,10,13,13,0,0
2026-05-04,29,15,14,14,0,0
2026-05-05,38,19,19,19,0,0
2026-05-06,95,46,51,51,0,0
2026-05-07,48,19,30,30,0,0
2026-05-08,77,36,42,42,0,0
2026-05-09,76,42,35,35,0,0
2026-05-10,12,4,8,8,0,0
2026-05-11,30,13,17,17,0,0
2026-05-12,44,22,22,22,0,0
2026-05-13,65,31,35,35,0,0
2026-05-14,68,31,37,37,0,0
2026-05-15,58,28,30,30,0,0
2026-05-16,67,37,30,30,0,0
2026-05-17,26,12,14,14,0,0
2026-05-18,27,16,11,11,0,0
2026-05-19,45,19,28,28,0,0
2026-05-20,51,22,29,29,0,0
2026-05-21,83,39,44,44,1,1
2026-05-22,94,47,50,50,0,0
2026-05-23,78,36,41,41,1,1
2026-05-24,12,5,7,7,0,0
2026-05-25,6,4,2,2,0,0
2026-05-26,35,17,19,19,0,0
2026-05-27,83,42,44,44,0,0
2026-05-28,88,42,47,47,0,0
2026-05-29,83,42,42,42,0,0
2026-05-30,38,20,19,19,0,0
